title,text,subject,date,label
U.S. MOSQUE LINKED TO TERRORIST GROUP Received $2.7 MILLION In Federal Funding,"It s interesting to note the terrorist organization linked to this mosque (and funded with our taxpayer dollars), is same terror group Obama and the Democrats supported during the Arab Spring uprising in Egypt A Kansas City mosque owned by an Islamic umbrella organization with deep ties to the U.S. arm of the Muslim Brotherhood has received millions of dollars in federal grants over the past several years, according to a federal spending database.The Islamic Center of Greater Kansas City has received $2,739,891 from the Department of Agriculture since 2010, a Daily Caller analysis has found. The money largely went to the mosque s Crescent Clinic to provide services through the Women, Infant and Children nutrition program, known as WIC.The most recent federal payment   in the amount of $327,436   was handed out Oct. 1. Property records show the mosque is owned by the North American Islamic Trust (NAIT), which acts as a financial holding company for Islamic organizations. It offers sharia-compliant financial products to Muslim investors, operates Islamic schools and owns more than 300 other mosques throughout the U.S.Founded in 1973 as an offshoot of the Muslim Brotherhood-backed Muslim Students Association, NAIT s most controversial connection is to the 2007 and 2008 Holy Land Foundation terror financing cases. Along with other Muslim Brotherhood-linked organizations like the Islamic Society of North America (ISNA) and the Council on American-Islamic Relations (CAIR), NAIT was named a co-conspirator in the federal case but was not indicted.At the Holy Land Foundation trial, evidence was presented that ISNA diverted funds from the accounts it held with NAIT to institutions linked to Hamas and to Mousa Abu Marzook, a senior Hamas leader.Federal prosecutors introduced evidence in the case that  established that ISNA and NAIT were among those organizations created by the U.S.-Muslim Brotherhood.  Hundreds of thousands of dollars worth of checks drawn from ISNA s account and deposited in the Holy Land Foundation s account with NAIT were made payable to  the Palestinian Mujahadeen,  which is the original name for Hamas  military wing.While Hamas was designated as a foreign terrorist organization by the U.S. government in 1997 and is considered the Palestinian branch of the Muslim Brotherhood, the larger Muslim Brotherhood is not itself designated as a terrorist group.And while the Obama administration has largely remained agnostic towards the organization, the British government released a scathing report earlier this month noting that the Muslim Brotherhood remains supportive of Hamas and that much of its ideology and many of its tactics  are contrary to our values and have been contrary to our national interests and our national security. Via: Daily Caller",Government News,29-Dec-15,0
OBAMA PROMISED No Vacations If Elected So Check Out Your Tab For This Big Lie [Video],"During Obama s campaigning in 2008, he spoke of his total devotion to the job as president if elected. One of the things he said he would give up is vacations. Well, we now know that was one of many, many big lies Obama s told since day one of his presidency. Not only has Obama vacationed, he s vacationed in lavish style racking up HUGE tabs compliments of the American taxpayer. Just listen to the video below from 2008 and know that he s lying through his teeth:When he was a candidate for president in 2008, Barack Obama said during an interview that as the occupant of the Oval Office his vacations, his leisure, even his need for sleep, would be gone in a dedication to the American people that such a position requires.Then he had American taxpayers spend in excess of $70 million on his   vacations.The comment he made came during an interview with New York Times columnist Bob Herbert. It was recorded in 2008 but apparently not published online until 2012.In context, Obama said,  You have to understand that if you seek that office, you have to be prepared to give your life to it. Essentially the burden that any president, I think, strikes, with the American people is, um, you give me this office and in turn my, fears, doubts, insecurities, foibles, need for sleep, family life, vacations, leisure is gone. I am giving myself to you. He continued,  The American people should have no patience for whatever is going through your head because you ve got a job to do. How I think about it is, um, that you don t make that decision unless you are prepared to make that sacrifice   that bargain. And he noted,  I think what s difficult and important for somebody like myself, who has a wonderful forbearing wife, and two gorgeous young children, is that they end up having to make some of those sacrifices, too.  However, the partial expenses for taxpayers even before the Obama family s extended and lavish vacation in Hawaii over the 2015 Christmas holiday, and the vacations for Vice President Joe Biden and his family, totaled $70,563,336.75, according the Washington watchdog Judicial Watch, which has been keeping tabs on the president s vacationing.Total costs are simply not available because some security-related expenses never are released. But a significant part of the costs are the taxpayer-funded jet travel for the Obama family.Only a few weeks ago, Judicial Watch said,  You may want to sit down for this one. We have new records from the U.S. Department of the Air Force revealing that Barack Obama and family had a busy 2015, vacationing on the American taxpayers  dime. The unnecessary travel included an Obama Palm Springs golf trip in June, a trip to New York City in July and a family trip to Martha s Vineyard in August   all of which cost taxpayers $3,115,688.70 in travel expenses alone. The documents regarding the Obama travel expenses came in response to three Freedom of Information Act (FOIA) requests, the first was filed on June 30, 2015, the second on July 23, 2015, and the third on August 24, 2015. The report said the June 20 golf outing for Obama to Palm Springs required 10.6 hours of flying time, costing taxpayers $2.1 million. Then a July 18 outing for Obama and his daughters to New York cost $309,000. And the Obama family s August trip to Martha s Vineyard cost taxpayers about $620,000 in flight time alone.Separate security costs include the salaries and expenses of the various Secret Service and other teams that the government provides. For example, during his annual Hawaii getaway over Christmas going on now, an ambulance remains on stand-by while Obama vacations.Reported Judicial Watch,  In Palm Springs, Obama played golf at the plush, private golf course of Oracle billionaire Lawrence Joseph  Larry  Ellison. The golf course is located on Ellison s 249-acre Porcupine Creek estate, which features a golf club and course, a huge 18,400 square-foot main residence, eight guest houses, a pool, spa, gym and an amphitheater. It was Obama s fifth golf outing to Palm Springs in the past two years. The West Coast trip reportedly included political fundraising and one speech to the U.S. Conference of Mayors. The New York trip was to allow Obama some time  hanging out with his girls,  according to an ABC report.Read more: wnd ",Government News,29-Dec-15,0
"NOT KIDDING: Call A Transexual “He” If He Wants To Be Called “She” In Communist NYC…Pay Staggering $250,000 Fine","The LGBT mafia has never been more threatening or powerful Did you call a transsexual person  he  or  she  when they preferred to be called  zhe?  According to a newly updated anti-discrimination law in New York City, you could be fined an eye-watering $250,000.In the latest, astonishing act of draconian political correctness, the NYC Commission on Human Rights have updated a law on  Discrimination on the Basis of Gender Identity or Expression  to threaten staggering financial penalties against property owners who  misgender  employees or tenants.Incidents that are deemed  wilful and malicious  will see property owners face up to $250,000 in fines, while standard violations of the law will result in a $125,000 fine. For small business owners, these sums are crippling.It s not as simple as referring to transmen  he  or transwomen as  she,  either. The legislation makes it clear that if an individual desires, property owners will have to make use of  zhe,   hir  and any other preferred pronoun. From the updated legislation:The NYCHRL requires employers and covered entities to use an individual s preferred name, pronoun and title (e.g., Ms./Mrs.) regardless of the individual s sex assigned at birth, anatomy, gender, medical history, appearance, or the sex indicated on the individual s identification. Most individuals and many transgender people use female or male pronouns and titles.Some transgender and gender non-conforming people prefer to use pronouns other than he/him/his or she/her/hers, such as they/them/theirs or ze/hirOther violations of the law include refusing to allow individuals to use single-sex facilities such as bathrooms that are  consistent with their gender identity,  failing to provide employee health benefits for  gender-affirming care  and  imposing different uniforms or grooming standards based on sex or gender. Examples of such illegal behaviour include:  requiring female bartenders to wear makeup,   Permitting only individuals who identify as women to wear jewellery or requiring only individuals who identify as male to have short hair,  and  permitting female but not male residents at a drug treatment facility to wear wigs and high heels. In other words, if a bar owner prevents male bartenders from wearing lipstick and heels, they ll be breaking the law. They ve now got a choice between potentially scaring off customers, and paying hundreds of thousands of dollars in fines. Regardless of the establishment s client le or aesthetic, every property owner will be forced to conform to the same standard.This is the latest in what Spiked Online editor-in-chief Brendan O Neill calls  The Crisis of Character  in the west, in which identities become grounded in subjective interpretation rather than objective reality. The state is now forcing society to recognise the subjective identities of individuals, regardless of how absurd or surreal they may seem. In New York City, recognising someone s identity is no longer a matter of case-by-case common sense and courtesy. It s zir way or the highway.",Government News,28-Dec-15,0
BOOM! It’s Payback Time For Gun-Grabbing Gov: GOP Works To Strip Him Of Armed Protection Detail,"Do you think our Gun Grabber In Chief should be next?Virginia state senator Bill Carrico (R-Dist. 40) is responding to Governor Terry McAuliffe s (D) relentless gun control push by introducing a budget amendment to remove funding for McAuliffe s protection detail.Carrico said,  If he s so afraid of guns, then I m not going to surround him with armed state policemen. McAuliffe has pushed numerous gun controls as governor and, in August, infamously pushed for expanding background checks after Virginia reporter Alison Parker had been shot on air. McAuliffe made the push for expanded background checks before the gunman who killed Parker had been caught and, therefore, before he had any knowledge of how the gunman acquired his gun. As it turned out, gunman Vester Lee Flanagan acquired his gun via a background check.Moreover, on October 15, McAuliffe issued an executive order banning the open carry of firearms in state buildings used by the Virginia executive branch and calling for enforcement to ensure that the only people  in the business  of selling guns in Virginia are those with a Federal Firearm License (FFL).Senator Carrico is responding to these things and more by trying to be sure McAuliffe does not have to be around guns at all if they bother him so much. According to the Bristol Herald Courier, Carrico said he will address this matter when the General Assembly convenes in January, saying:A lot of the governor s power is deferred to the General Assembly at that point and I ll be getting with my colleagues to circumvent everything this governor has done on this point. I have a budget amendment that I m looking at to take away his executive protection unit. If he s so afraid of guns, then I m not going to surround him with armed state policemen. Via: Breitbart News",Government News,28-Dec-15,0
SOMALI PIRATE POSING AS A “REFUGEE” Found Covered In Blood After Stabbing Roommate 19 Times In German Government Funded Housing,"Apparently free housing, food and spending money wasn t enough for this murderous thug posing as a helpless refugee A Somali pirate who was in jail in France for seven years has been jailed for another eleven years in Germany after murdering a fellow African while pretending to be an  asylum seeker  in a Berlin invader camp.The astonishing story of the 35-year-old African invader has been revealed in the Potsdam, Berlin-based M rkische Allgemeine newspaper.The Somali who has still not been named, apparently by court order provided an astonishing story which dramatically illustrated how hordes of fraudsters have taken advantage of deluded European liberals to invade and parasite off Europe.He entered Germany in May this year and joined in the general rush to claim asylum, the M rkische Allgemeine reported.The German liberals immediately gave him housing, food, and welfare money. He received an apartment which he shared with another African  asylum seeker  from Somalia in a building on the Potsdamer Strasse in Teltow (Potsdam-Mittelmark).He fell out with his flatmate, a 21-year-old, and in a murderous frenzy, stabbed him nineteen times, cutting his carotid artery. The 35-year-old fled the scene, but was easily spotted on the streets a few blocks away not only because of his skin color, but also because he was drenched in his murder victim s blood.The Potsdam regional court found him guilty of the latest murder and rejected his plea of manslaughter, saying that the nature of the victim s wounds showed clear premeditation. He was sentenced to eleven-and-half-years in jail.During the court proceedings, his pretrial statements to the police were read out, and his incredible story emerged. In these statements, the Somali admitted to the police that he had previously been jailed in France for seven years after being convicted of piracy off the horn of Africa.In addition, he said, he had killed another inmate while in prison in France, and upon his release, he had simply crossed the border into Germany, thrown away his identification papers, and joined the asylum queue in Berlin.The lack of identification papers is also the reason why the court has not ordered his name to be released because they do not know his real name or even his actual age.The court found that he had documents which gave two different birth dates, and he himself had claimed a third, while he had been registered in the German asylum system under three different names.The latter maneuver is an old trick used by Third World swindlers in Europe to triple their welfare benefits, and is a growing problem with the latest wave of incomers.Nonetheless, the Somali s successful exploitation of the  asylum system wrecked only by his murderous behavior serves as a perfect case study in the criminal nature of the Third World invasion and of the stupidity of leftist Europeans in allowing the  asylum  racket to continue. Via: Maz-online and New Observer ",Government News,28-Dec-15,0
"IS OBAMA’S RADICAL AGENDA Responsible For State Department’s Misleading Report On Forced Labor, Prostitution And Human Slavery?","President Barack Obama has called the fight against human trafficking  one of the great human rights causes of our time  and has pledged the United States  will continue to lead it. If Obama really believed that human trafficking was such an important cause, then why would his State Department be working so hard to hide the truth about these horrific human rights violators? In the weeks leading up to a critical annual U.S. report on human trafficking that publicly shames the world s worst offenders, human rights experts at the State Department concluded that trafficking conditions hadn t improved in Malaysia and Cuba. And in China, they found, things had grown worse.The State Department s senior political staff saw it differently   and they prevailed.A Reuters examination, based on interviews with more than a dozen sources in Washington and foreign capitals, shows that the government office set up to independently grade global efforts to fight human trafficking was repeatedly overruled by senior American diplomats and pressured into inflating assessments of 14 strategically important countries in this year s Trafficking in Persons report.In all, analysts in the Office to Monitor and Combat Trafficking in Persons   or J/TIP, as it s known within the U.S. government   disagreed with U.S. diplomatic bureaus on ratings for 17 countries, the sources said.The analysts, who are specialists in assessing efforts to combat modern slavery   such as the illegal trade in humans for forced labor or prostitution   won only three of those disputes, the worst ratio in the 15-year history of the unit, according to the sources.As a result, not only Malaysia, Cuba and China, but countries such as India, Uzbekistan and Mexico, wound up with better grades than the State Department s human-rights experts wanted to give them, the sources said. (Graphic looking at some of the key decisions here: reut.rs/1gF2Wz5)Of the three disputes J/TIP won, the most prominent was Thailand, which has faced scrutiny over forced labor at sea and the trafficking of Rohingya Muslims through its southern jungles. Diplomats had sought to upgrade it to so-called  Tier 2 Watch List  status. It remains on  Tier 3    the rating for countries with the worst human-trafficking records.The number of rejected recommendations suggests a degree of intervention not previously known by diplomats in a report that can lead to sanctions and is the basis for many countries  anti-trafficking policies. This year, local embassies and other constituencies within the department were able to block some of the toughest grades.State Department officials say the ratings are not politicized.  As is always the case, final decisions are reached only after rigorous analysis and discussion between the TIP office, relevant regional bureaus and senior State Department leaders,  State Department spokesman John Kirby said in response to queries by Reuters.Still, by the time the report was released on July 27, Malaysia and Cuba were both removed from the  Tier 3  blacklist, even though the State Department s own trafficking experts believed neither had made notable improvements, according to the sources.The Malaysian upgrade, which was highly criticized by human rights groups, could smooth the way for an ambitious proposed U.S.-led free-trade deal with the Southeast Asian nation and 11 other countries.Ending Communist-ruled Cuba s 12 years on the report s blacklist came as the two nations reopened embassies on each other s soil following their historic d tente over the past eight months.And for China, the experts  recommendation to downgrade it to the worst ranking, Tier 3, was overruled despite the report s conclusion that Beijing did not undertake increased anti-trafficking efforts.That would have put China alongside the likes of Syria and North Korea, regarded by the United Nations as among the world s worst human right abusers.Typically, J/TIP wins more than half of what officials call  disputes  with diplomatic sections of the State Department, according to people familiar with the process. Certainly we have never seen that kind of an outcome,  said one U.S. official with direct knowledge of the department.ABILITY TO EMBARRASSThe Trafficking in Persons report, which evaluated 188 countries and territories this year, calls itself the world s most comprehensive resource of governmental anti-human trafficking efforts. Rights groups mostly agree.It organizes countries into tiers based on trafficking records: Tier 1 for nations that meet minimum U.S. standards; Tier 2 for those making significant efforts to meet those standards; Tier 2  Watch List  for those that deserve special scrutiny; and Tier 3 for countries that fail to comply with the minimum U.S. standards and are not making significant efforts.While a Tier 3 ranking can trigger sanctions limiting access to aid from the United States, the International Monetary Fund or the World Bank, such action is frequently waived.The real power is its ability to embarrass countries into action. Many countries aggressively lobby U.S. embassies to try to avoid sliding into the Tier 3 category. Four straight years on the Tier 2 Watch List triggers an automatic downgrade to Tier 3 unless a country earns a waiver or an upgrade.The leverage has brought some success, including pressuring Switzerland to close loopholes that allowed the prostitution of minors and prompting the Dominican Republic to convict more child trafficking offenders.President Barack Obama has called the fight against human trafficking  one of the great human rights causes of our time  and has pledged the United States  will continue to lead it. But the office set up in 2001 by a congressional mandate to spearhead that effort is increasingly struggling to publish independent assessments of the most diplomatically important countries, the sources said.The rejection of so many recommendations could strengthen calls by some lawmakers to investigate how the report is compiled. After Reuters on July 8 reported on the plans to upgrade Malaysia, 160 members of the U.S. House and 18 U.S. senators wrote to Secretary of State John Kerry urging him to keep Malaysia in Tier 3, based on its trafficking record. They questioned whether the upgrade was politically motivated.Senator Robert Menendez, a Democrat, has threatened to call for a Senate hearing and an inspector general to investigate if top State Department officials removed Malaysia from the lowest tier for political reasons.The final decision on disputed rankings this year was made in meetings attended by some of the State Department s most powerful diplomats, including Deputy Secretary of State Tony Blinken, Under Secretary of State for Political Affairs Wendy Sherman and Kerry s Chief of Staff, Jonathan Finer, according to the sources. NO, NO, NO The unprecedented degree of discord over this trafficking report began to become clear after Reuters early last month revealed plans to upgrade Malaysia from the lowest Tier 3 rank to Tier 2 Watch List.The improved ranking came in a year in which Malaysian authorities discovered dozens of suspected mass migrant graves and human rights groups reported continued forced labor in the nation s lucrative palm oil, construction and electronics industries. As recently as April, the U.S. ambassador to Malaysia, Joseph Yun, urged the country to take prosecution of human trafficking violations more seriously.U.S. officials have denied that political considerations influenced Malaysia s rankings. No, no, no,  said Sewall, when asked by reporters last Monday whether Malaysia was upgraded to facilitate trade negotiations. She said the decision was based on how Malaysia was dealing with trafficking.Representative Chris Smith, a New Jersey Republican who authored a 2000 law that led to the creation of J/TIP, said in an interview that the office s authority is being undermined by the president s agenda.  It s so politicized,  he said.If Malaysia had remained on Tier 3, it would have posed a potential barrier to Obama s proposed trade pact, the Trans-Pacific Partnership. That deal is a crucial part of his pivot to Asia policy. Congress approved legislation in June giving Obama expanded trade negotiating powers but prohibiting deals with Tier 3 countries such as, at that time, Malaysia.Congressional sources and current and former State Department officials said experts in the J/TIP office had recommended keeping Malaysia on Tier 3, highlighting a drop in human-trafficking convictions in the country to three last year from nine in 2013. They said, according to the sources, that some of Malaysia s efforts to end forced labor amounted to promises rather than action.The analysts also clashed over Cuba s record with the State Department s Western Hemisphere Affairs Bureau, whose view took precedence in the final report.Human rights groups and people with knowledge of the negotiations over the rankings said an unearned upgrade for Cuba, especially at a time of intense attention due to the historic diplomatic thaw between Washington and Havana, could undermine the integrity of the report.Cuba had been on the  border line  for an upgrade in recent years, a former State Department official said. And although Cuba ended up with an upgrade, the final report remained highly critical, citing concerns about Cuba s failure to deal with a degree of alleged forced labor in medical missions that Havana sends to developing countries.China was another source of friction. J/TIP s analysts called for downgrading China, the world s second-biggest economy, to Tier 3, criticizing Beijing for failing to follow through on a promise to abolish its  re-education through labor  system and to adequately protect trafficking victims from neighboring countries such as North Korea. The final report put China on Tier 2 Watch List.SHOWING DEFERENCEBut the candor of J/TIP can run afoul of other important diplomatic priorities, particularly in countries beset by instability or corruption where U.S. diplomats are trying to build relationships. That leads every year to sometimes contentious back-and-forth over the rankings with far-flung embassies and regional bureaus   the diplomatic centers of gravity at the State Department. There is supposed to be some deference to the expertise of the office,  said Mark Lagon, J/TIP s ambassador-at-large from 2007 to 2009 and now president of Freedom House, an advocacy group in Washington. If the office is now losing more disputes over rankings than it is winning, that would be  an unfortunate thing,  he said.Most U.S. diplomats are reluctant to openly strike back at critics inside and outside of the administration who accuse them of letting politics trump human rights, the sources said.But privately, some diplomats say that J/TIP staffers should avoid acting like  purists  and keep sight of broader U.S. interests, including maintaining open channels with authoritarian governments to push for reform and forging trade deals that could lift people out of poverty.For entire story: Reuters",Government News,26-Dec-15,0
The Socialists In Venezuela Dealing With A ‘Dead Christmas’ And Food Shortages," We ve reported on the lines for food and shortages of things like toilet paper in Venezuela but this is really sad. The people of the Chavez lead socialist country are suffering so much that they say that  Christmas is Dead  to them. They worry more about food than giving presents Ah, socialism Caracas (AFP)    Christmas is dead,  says Elise Belisario, who, like many Venezuelans, can t afford to hang decorations or make a traditional holiday meal this year.And 2016 augurs bleak times too in this staggering oil giant, where the new year looks set to bring political power struggles and little respite from a crippling economic crisis.Belisario lives in the sprawling slum of Petare, on the outskirts of Caracas, which is suffering this holiday season from the shortages and triple-digit inflation gripping Venezuela   the twin tribulations of the once high-flying economy s demise.Where Christmases past brought exuberant decorations and balconies drenched in lights, this year Petare s streets are drab and dark. There s just not enough money. We ve switched off Christmas,  said Belisario, a 28-year-old with two kids who recently lost her job.When the oil money was flowing, Christmas was a consumer bonanza in Venezuela, a predominantly Catholic country with a flair for celebrations.A woman paints stairs with Christmas colors at the Jose Felix Ribas community in low-income Petare n   But that has changed as oil prices have plunged, and the opulent days under late leftist firebrand Hugo Chavez (1999-2013) have given way to the malaise plaguing his less charmed successor, Nicolas Maduro. We were rich and we didn t even know it,  said Belisario.At a nearby shop, cashier Olga Gonzalez, 50, dejectedly picks up the nearly empty piggy bank she has dressed up in a little Santa Claus suit in hopes of getting some traditional Christmas tips.But there are no customers to leave them. People are more worried about buying food than giving gifts this year,  she said.Exasperated with empty supermarket shelves, runaway prices and violent crime, Venezuelans gave the opposition a landslide victory in legislative elections this month, ending the Chavez movement s 16-year monopoly on power.Via: Yahoo",Government News,25-Dec-15,0
PAUL RYAN: American Companies Will Close Without Foreign Labor,"Paul Ryan is just like all the other establishment politicians from both sides of the aisle who have sold the American worker down the river for cheap labor. Foreign workers have been coming in to America by the droves to take over jobs that Americans had. In some cases, the American worker is required to train the foreign worker who s taking their job. Disney has been called out on doing this to its workers who fought back against it. The Chamber of Commerce is in the pocket of the establishment and they are all for more and more immigration that will ultimately hurt the American worker. In a Tuesday morning interview with radio host Bill Bennett,Paul Ryan defended his omnibus bill s controversial expansion in the H-2B visa program, which would allow foreign workers to fill blue-collar American jobs, by arguing that if the provision were not included, American companies would be forced to shut their doors.Bennett pressed Ryan on the details of the H-2B visa expansion, slipped 700-pages into Ryan s 2,009-page omnibus spending bill asking Ryan directly,  Do you believe there are not enough Americans to fill these jobs? In response, Ryan described the H-2B visa expansion as  a very small, discrete provision. Despite the nation s high levels of unemployment and stagnating wages, Ryan continued on to assert, without offering evidence in support of his claim, that corporations are facing a shortage of labor, which rendered the provision necessary. Ryan said:The reason that this was passed is because there was some seasonal surge jobs that they can t find local workers to fill, like the seafood packaging industry in Chesapeake Bay. You have seafood season, you need people to package those things, to can them. In the North, we have the summer tourism industry. What it is is there s seasonal industries where they can t find local people to do the jobs: kids are already in college or things like that where you have a surge in workers.Ryan explained that the provision was passed specifically  to help small business who cannot find labor when there s a surge in demand for their labor like seafood processing, or tourism. Ryan warned,  The point is these businesses would have shut down without this and that s what we didn t want to see happen. We didn t want to see businesses, who are seasonal, shut down because they couldn t get the labor. That s why this provision was passed in July. The data, however, demonstrates Ryan s claim to be unsubstantiated. As Sen. Jeff Sessions (R-AL)80% has highlighted, the Economic Policy Institute has documented how,  wages were stagnant or declining for workers in all of the top 15 H-2B occupations between 2004 and 2014. Unemployment rates increased in all but one of the top 15 H-2B occupations between 2004 and 2014, and all 15 occupations averaged very high unemployment rates  Flat and declining wages coupled with such high unemployment rates over such a long period of time suggest a loose labor market an over-supply of workers rather than an under-supply.Cries of so-called  labor shortages  are frequently invoked by corporations and immigration expansionist who want to see large increases in low-wage labor. As immigration attorney Ian Smith has explained, Ryan s resurrection and expansion of the controversial provision in Sen. Marco Rubio s Gang of Eight bill to increase guest-worker programs will disproportionately  hurt America s most vulnerable workers  such as black workers, single women, the elderly, and first-generation immigrants.While Ryan argues that more low-wage immigrant labor is needed to fill labor shortages, National Review s Rich Lowry has previously declared,  The next time I hear a Republican strategist or a Republican politician say that there are jobs that Americans won t do, that person should be shot, he should be hanged, he should be wrapped in a carpet and thrown in the Potomac River. Ryan s push to expand immigration comes on top of the nation s existing federal policy of autopilot visa dispensations. Under current policy, every day the U.S. brings in enough new immigrants to fill an overcrowded, metropolitan high school. Every week, the United States brings in enough new immigrants to fill the Staples Center, where the Los Angeles Lakers play. Every year, we add an immigrant population the size of Dallas. And every three years, the U.S. adds another entire city of Los Angeles, made up of foreign-born immigrants.Ryan, however, seems to believe these numbers should be even bigger, even as the U.S. foreign-born population is already at an all-time high of 42.4 million.Perhaps the most unusual aspect of Ryan s using conservative talk radio platforms to make arguments for expanded immigration is that the Republican Party is now in the position of having an electorate that is almost universally opposed (92 percent according to Pew) to immigration increases, but it is led by a House Speaker who has a two-decade long history of pushing for higher rates of immigration. This means that one segment of the electorate, perhaps most in favor of immigration reductions, now has as its leader one of the politicians most associated with pushing for expanded immigration.Read more: Breitbart",Government News,25-Dec-15,0
NEW POLICY: TSA Can Now Force You To Go Through Body Scanners,"The Transportation Security Administration (TSA) screeners at airports can now force passengers to go through body scanners, according to a new policy change.The Department of Homeland Security (DHS) has updated its protocol to no longer allow passengers to opt out of being electronically scanned at through Advanced Imaging Technology (AIT) machines at checkpoints. Before the change, people could choose a physical screening. While passengers may generally decline AIT screening in favor of physical screening, TSA may direct mandatory AIT screening for some passengers,  the DHS issued in a Dec. 18 policy update.The change weakens the opt-out rule but doesn t entirely eliminate it, a TSA spokesman told TIME.  Passengers undergoing screening will still have the option to decline an AIT screening in favor of a physical screening,  agency spokesman Mike England said in a statement.  However, some passengers will still be required to undergo AIT screenings as warranted by security considerations in order to safeguard transportation security. Via: Time",Government News,24-Dec-15,0
BREAKING: ‘Sensitive’ Benghazi E-Mails Released In Christmas Eve Document Dump,"Interesting isn t it? It s Christmas Eve and 16 pages of e-mails are released. These are not just any old e-mails. These e-mails are very important to finding out what happened the night of the Benghazi attack. Here s The Hill s take on why these were released today:The documents were released as part of a  proactive disclosure  under the Freedom of Information Act. The government and public relations firms have been known to release unflattering information around major holidays or weekends to blunt the news effect.The Office of the Director of National Intelligence (DNI) released a handful of sensitive documents Thursday morning dealing with terrorism suspect Anwar al-Awlaki and the terrorist attacks in Benghazi, Libya.The Christmas Eve document dump includes 16 pages of heavily blacked-out emails about the events surrounding the 2012 terrorist attack on a U.S. diplomatic compound in Benghazi that killed four Americans.The DNI emails about Benghazi are heavily redacted and appear to contain little new information. Several of the emails discuss the drafting of an assessment of the threat level ahead of the attack, which was being prepared for Congress in the months after four Americans were killed in the attack. Other emails include periodic press clippings about the state of Benghazi in the years after the incident, which were meant to give staffers  situational awareness. Another document released Thursday is a memo to the State Department that shows the DNI signed off on a proposal to revoke al-Awlaki s U.S. passport about seven and a half months before he was killed by the U.S. in a 2011 drone strike in Yemen.News that al-Awlaki s passport was revoked by the State Department before he was killed was reported back in 2012. In the 2011 memo, released Thursday, the DNI told the State Department that it  concurs with the proposal to revoke the U.S. passport of Anwar Nasser al-Aulaqi. A previously released Justice Department memo from that time found that the government did not see any constitutional problems with killing al-Awlaki, a U.S. citizen, because of his alleged leadership roles with al Qaeda.Other documents released Thursday are related a 2013 update about how to mark sensitive human intelligence that has been gathered. Another relates to the schedule of National Counterintelligence Executive William Evanina in early 2015.The documents were released as part of a  proactive disclosure  under the Freedom of Information Act. The government and public relations firms have been known to release unflattering information around major holidays or weekends to blunt the news effect.Via: The Hill",Government News,24-Dec-15,0
